ranking,author_name,affiliation,score,Astar_count,total_count,conference_count,clean_author_name
1,"David P. Woodruff","Carnegie Mellon University",0.66093,93,95,12,"David P. Woodruff"
2,"Ming-Hsuan Yang 0001","University of California, Merced",0.63032,42,172,7,"Ming-Hsuan Yang"
3,"Graham Neubig","Carnegie Mellon University",0.62967,67,140,8,"Graham Neubig"
4,"Zhangyang Wang","University of Texas at Austin",0.60362,67,103,11,"Zhangyang Wang"
5,"Yejin Choi 0001","University of Washington",0.59833,60,133,8,"Yejin Choi"
6,"Jiebo Luo","University of Rochester",0.59636,50,107,12,"Jiebo Luo"
7,"Cho-Jui Hsieh","University of California, Los Angeles",0.59485,56,75,15,"Cho-Jui Hsieh"
8,"Dawn Song","University of California, Berkeley",0.59190,33,52,20,"Dawn Song"
9,"Jian Pei","Duke University",0.59158,72,76,13,"Jian Pei"
10,"Ion Stoica","University of California, Berkeley",0.59038,47,90,14,"Ion Stoica"
11,"Alan L. Yuille","Johns Hopkins University",0.58556,40,146,8,"Alan L. Yuille"
12,"Dan Roth","University of Pennsylvania",0.57857,56,111,10,"Dan Roth"
13,"Yuan Xie 0001","University of California, Santa Barbara",0.57695,44,87,14,"Yuan Xie"
14,"Yanzhi Wang","Northeastern University",0.56777,38,80,15,"Yanzhi Wang"
15,"Xiang Ren 0001","University of Southern California",0.55921,55,95,11,"Xiang Ren"
16,"Trevor Darrell","University of California, Berkeley",0.55189,41,122,9,"Trevor Darrell"
17,"Yiran Chen 0001","Duke University",0.54929,24,85,15,"Yiran Chen"
18,"Luke Zettlemoyer","University of Washington",0.54549,51,110,9,"Luke Zettlemoyer"
19,"Kai-Wei Chang","University of California, Los Angeles",0.54433,47,96,11,"Kai-Wei Chang"
20,"Jiliang Tang","Michigan State University",0.52473,66,70,11,"Jiliang Tang"
21,"Xipeng Shen","North Carolina State University",0.52457,35,47,17,"Xipeng Shen"
22,"William Yang Wang","University of California, Santa Barbara",0.51590,42,97,10,"William Yang Wang"
23,"Yun Fu 0001","Northeastern University",0.50752,66,97,7,"Yun Fu"
24,"Bo Li 0026","University of Chicago",0.50533,36,55,15,"Bo Li"
25,"Noah A. Smith","University of Washington",0.50352,49,111,7,"Noah A. Smith"
26,"Alex Aiken","Stanford University",0.50295,31,50,16,"Alex Aiken"
27,"Yizhou Sun","University of California, Los Angeles",0.50224,51,57,13,"Yizhou Sun"
28,"Ce Zhang 0001","University of Chicago",0.49357,58,64,11,"Ce Zhang"
29,"Lei Li 0005","Carnegie Mellon University",0.49264,50,71,11,"Lei Li"
30,"Samuel Madden 0001","Massachusetts Institute of Technology",0.48897,63,66,10,"Samuel Madden"
31,"Leonidas J. Guibas","Stanford University",0.48469,37,114,7,"Leonidas J. Guibas"
32,"Lawrence Carin","Duke University",0.48421,61,83,8,"Lawrence Carin"
33,"Isil Dillig","University of Texas at Austin",0.47601,52,62,11,"Isil Dillig"
34,"Xiangliang Zhang 0001","University of Notre Dame",0.47572,59,64,10,"Xiangliang Zhang"
35,"Julian J. McAuley","University of California, San Diego",0.47474,46,67,11,"Julian J. McAuley"
36,"Dejing Dou","University of Oregon",0.46480,39,52,13,"Dejing Dou"
37,"Pieter Abbeel","University of California, Berkeley",0.46032,54,62,10,"Pieter Abbeel"
38,"Martin C. Rinard","Massachusetts Institute of Technology",0.45771,29,41,15,"Martin C. Rinard"
39,"Huan Liu 0001","Arizona State University",0.45124,58,63,9,"Huan Liu"
40,"Xia Ben Hu","Rice University",0.44874,59,61,9,"Xia Ben Hu"
41,"Elaine Shi","Carnegie Mellon University",0.44858,44,49,12,"Elaine Shi"
42,"Hai Li 0001","Duke University",0.44737,19,63,13,"Hai Li"
43,"Matei Zaharia","University of California, Berkeley",0.44422,37,45,13,"Matei Zaharia"
44,"Armando Solar-Lezama","Massachusetts Institute of Technology",0.43916,34,37,14,"Armando Solar-Lezama"
45,"Antonio Torralba 0001","Massachusetts Institute of Technology",0.43864,29,93,8,"Antonio Torralba"
46,"Shan Lu 0001","University of Chicago",0.43562,33,45,13,"Shan Lu"
47,"Benjamin Van Durme","Johns Hopkins University",0.43404,42,79,8,"Benjamin Van Durme"
48,"Quanquan Gu","University of California, Los Angeles",0.42427,58,60,8,"Quanquan Gu"
49,"Christopher Ré","Stanford University",0.42381,50,50,10,"Christopher Ré"
50,"Kurt Keutzer","University of California, Berkeley",0.42295,31,50,12,"Kurt Keutzer"
