state,institutional_control,num_universities,avg_tuition,avg_acceptance_rate,avg_enrollment
AK,public,1,22032,65,5844
AK,NULL,1,22032,65,5844
AL,private,1,38144,83,3672
AL,public,5,28214.8,70.8,17305.8
AL,NULL,6,29869.6667,72.8333,15033.5
AR,private,1,24888,45,3523
AR,public,3,20347,68.3333,13568.6667
AR,NULL,4,21482.25,62.5,11057.25
AZ,public,3,32816,85.6667,43035.3333
AZ,NULL,3,32816,85.6667,43035.3333
CA,private,15,54855.4667,54.5333,5441.4
CA,public,16,33925.75,52.375,25157.875
CA,NULL,31,44053.0323,53.4194,15617.6452
CO,private,2,51660,78,4279
CO,public,5,35829.6,77.4,16736.2
CO,NULL,7,40352.5714,77.5714,13177
CT,private,6,51003,60.5,5016.5
CT,public,1,43034,55,18983
CT,NULL,7,49864.5714,59.7143,7011.7143
DC,private,6,49008,50,6838.8333
DC,NULL,6,49008,50,6838.8333
DE,public,1,39720,72,18883
DE,NULL,1,39720,72,18883
FL,private,6,40274.3333,71.8333,7528.8333
FL,public,9,21527.1111,50.6667,29996.7778
FL,NULL,15,29026,59.1333,21009.6
GA,private,3,42703.3333,47.3333,5129
GA,public,6,26056.6667,62.6667,19023.6667
GA,NULL,9,31605.5556,57.5556,14392.1111
HI,public,2,27508,62,8395.5
HI,NULL,2,27508,62,8395.5
IA,private,3,41770.6667,69.3333,1913.3333
IA,public,2,29772,88,23607
IA,NULL,5,36971.2,76.8,10590.8
ID,public,2,27514,79,15885.5
ID,NULL,2,27514,79,15885.5
IL,private,9,44880.5556,58.7778,6350.6667
IL,public,6,22810,78.3333,17288.6667
IL,NULL,15,36052.3333,66.6,10725.8667
IN,private,5,42333.4,71,3698.4
IN,public,5,30698.6,75.8,22543.4
IN,NULL,10,36516,73.4,13120.9
KS,private,1,33800,92,1187
KS,public,3,24692.3333,83.6667,15661
KS,NULL,4,26969.25,85.75,12042.5
KY,private,1,46780,88,2343
KY,public,5,26256.4,91.2,15188.8
KY,NULL,6,29677,90.6667,13047.8333
LA,private,2,56389,44.5,5319.5
LA,public,4,23507,76.25,15114.25
LA,NULL,6,34467.6667,65.6667,11849.3333
MA,private,14,55161.6429,43.9286,6190.9286
MA,public,4,35723,81.75,13630
MA,NULL,18,50841.9444,52.3333,7844.0556
MD,private,1,63340,7,6044
MD,public,4,27285.5,72.75,12630
MD,NULL,5,34496.4,59.6,11312.8
ME,private,2,32372,93.5,3085.5
ME,public,1,35346,94,9774
ME,NULL,3,33363.3333,93.6667,5315
MI,private,2,32384,91,2225.5
MI,public,11,27717,77.2727,15998.7273
MI,NULL,13,28435,79.3846,13879.7692
MN,private,5,45717.2,84.6,2785.8
MN,public,1,36402,75,39248
MN,NULL,6,44164.6667,83,8862.8333
MO,private,3,47797.3333,61.3333,7122.3333
MO,public,5,29115.6,74.8,14142.2
MO,NULL,8,36121.25,69.75,11509.75
MS,private,2,18191.5,48.5,2866.5
MS,public,3,21726,88.6667,15288.3333
MS,NULL,5,20312.2,72.6,10319.6
MT,public,2,29806,84,10931.5
MT,NULL,2,29806,84,10931.5
NC,private,7,42979.4286,63.5714,3808.1429
NC,public,9,23053.8889,68.7778,16291.1111
NC,NULL,16,31771.3125,66.5,10829.8125
ND,private,1,21062,79,2579
ND,public,2,15608,89.5,10012
ND,NULL,3,17426,86,7534.3333
NE,private,1,47000,76,4290
NE,public,2,24733,82.5,15607.5
NE,NULL,3,32155.3333,80.3333,11835
NH,private,1,65511,6,4458
NH,public,1,38882,87,11480
NH,NULL,2,52196.5,46.5,7969
NJ,private,3,57344,42.3333,5201.3333
NJ,public,8,29336.5,77.5,13574.5
NJ,NULL,11,36974.9091,67.9091,11290.9091
NM,public,2,26918.5,87,13752.5
NM,NULL,2,26918.5,87,13752.5
NV,public,2,26024.5,85.5,21169
NV,NULL,2,26024.5,85.5,21169
NY,private,22,50377.4545,62.5,8064.7273
NY,public,6,26361.3333,59.8333,13081
NY,NULL,28,45231.1429,61.9286,9139.6429
OH,private,6,44606.6667,66.1667,4363.3333
OH,public,9,25137.4444,82.3333,19816.2222
OH,NULL,15,32925.1333,75.8667,13635.0667
OK,private,2,40844,69.5,2004
OK,public,2,25322,72,21047.5
OK,NULL,4,33083,70.75,11525.75
OR,private,2,47703,92,2086.5
OR,public,3,33784.3333,87.3333,21778
OR,NULL,5,39351.8,89.2,13901.4
PA,private,19,47270.5789,68.5789,4063
PA,public,5,30324.4,72.8,21443.6
PA,NULL,24,43740.125,69.4583,7683.9583
PR,private,1,5920,85,4473
PR,public,1,2168,50,10207
PR,NULL,2,4044,67.5,7340
RI,private,1,68230,5,7639
RI,public,1,35804,76,13927
RI,NULL,2,52017,40.5,10783
SC,public,2,36715,53.5,24954.5
SC,NULL,2,36715,53.5,24954.5
SD,public,2,12875.5,92.5,8526.5
SD,NULL,2,12875.5,92.5,8526.5
TN,private,7,38648.5714,65.2857,3476.5714
TN,public,6,22253.6667,80.1667,15026.5
TN,NULL,13,31081.6923,72.1538,8807.3077
TX,private,8,48061.5,63.75,6362
TX,public,18,26719.0556,76.2778,23918.3333
TX,NULL,26,33285.9615,72.4231,18516.3846
UT,private,1,6496,67,31401
UT,public,2,28923.5,91.5,25595
UT,NULL,3,21447.6667,83.3333,27530.3333
VA,private,5,31963,65.6,2734.2
VA,public,8,38536.75,69.5,18428.5
VA,NULL,13,36008.3846,68,12392.2308
VT,public,1,43890,60,11898
VT,NULL,1,43890,60,11898
WA,private,3,48866.3333,82,3870.3333
WA,public,2,35535,65.5,29742
WA,NULL,5,43533.8,75.4,14219
WI,private,3,38833.3333,84,3859.3333
WI,public,4,24074.75,78.75,19276.5
WI,NULL,7,30399.8571,81,12669.1429
WV,public,2,23113,84,13510.5
WV,NULL,2,23113,84,13510.5
WY,public,1,22718,96,8518
WY,NULL,1,22718,96,8518
NULL,NULL,394,36478.0381,68.4518,12576.9543
